cidade,area,quartos,banheiros,vagas,andar,animal,mobiliado,condominio,aluguel,iptu,total
Belo Horizonte,306,3,5,0,0,1,0,0,8000,0,8132
Sao Paulo,113,2,2,1,6,1,0,1000,3000,50,4089
Sao Paulo,280,3,4,2,3,0,0,4000,6000,1059,11140
Sao Paulo,270,3,3,3,16,1,0,2800,13000,959,16920
Sao Paulo,78,2,1,1,7,1,0,645,2000,35,2706
Sao Paulo,60,1,2,1,0,1,0,0,1500,30,1553
Sao Paulo,30,1,1,0,0,1,0,0,750,59,821
Rio de Janeiro,58,2,1,1,10,1,0,594,800,77,1482
Rio de Janeiro,65,1,1,0,2,1,0,350,1800,30,2204
Sao Paulo,58,1,1,1,1,0,0,580,1740,75,2418
Sao Paulo,22,1,1,0,25,1,0,385,2100,40,2552
Sao Paulo,32,1,1,1,13,0,1,811,3200,174,4226
Campinas,176,3,5,3,3,1,0,1350,5200,442,7058
Belo Horizonte,350,7,5,4,0,1,0,0,7500,357,7980
Sao Paulo,260,4,4,2,5,1,1,2570,4400,584,7610
Sao Paulo,100,2,1,0,0,1,0,0,2300,198,2533
Rio de Janeiro,65,1,1,0,10,0,1,750,3500,142,4438
Rio de Janeiro,600,7,6,1,12,0,1,1300,15000,1167,17660
Rio de Janeiro,300,4,3,1,0,1,0,0,5000,367,5444
Sao Paulo,430,4,3,4,0,1,0,0,8500,1427,10060
Sao Paulo,260,5,5,4,20,0,0,4000,8000,2620,14720
Belo Horizonte,211,3,4,3,0,0,0,0,8400,292,8830
Campinas,103,3,2,1,9,0,0,885,1800,113,2821
Porto Alegre,62,2,2,0,2,1,0,400,1556,100,2079
Rio de Janeiro,80,2,2,1,1,1,1,1100,3499,205,4850
Sao Paulo,60,1,1,1,0,0,0,0,1180,0,1198
Sao Paulo,27,1,1,0,5,0,0,1404,3500,1,4950
Sao Paulo,486,4,6,5,8,0,0,4614,4861,3772,13310
Sao Paulo,40,1,1,1,12,1,1,480,1680,102,2284
Rio de Janeiro,60,2,1,0,7,1,1,806,2800,97,3740
Rio de Janeiro,64,2,2,0,10,1,0,665,2200,104,2998
Campinas,660,5,7,4,17,1,0,5381,10000,1100,16610
Sao Paulo,62,3,2,1,5,1,0,487,2400,54,2972
Porto Alegre,50,2,1,1,3,1,0,180,946,0,1140
Sao Paulo,380,3,4,4,0,1,0,0,8000,952,9073
Campinas,134,3,3,2,7,0,0,1000,2500,177,3709
Sao Paulo,74,2,2,0,4,1,1,1105,3600,210,4961
Belo Horizonte,68,2,2,1,5,1,1,1183,2500,207,3924
Rio de Janeiro,33,1,1,0,2,1,0,470,1600,72,2163
Sao Paulo,60,2,1,0,0,1,0,0,1100,0,1117
Sao Paulo,50,1,1,1,25,0,1,707,3700,30,4484
Sao Paulo,57,2,2,2,6,1,0,834,1630,189,2674
Sao Paulo,39,1,1,1,4,1,0,529,995,49,1586
Porto Alegre,45,1,1,1,1,0,0,30,760,0,802
Sao Paulo,221,3,2,2,7,1,0,1980,4500,200,6738
Sao Paulo,140,3,2,0,8,1,1,2500,1799,375,4697
Rio de Janeiro,650,5,4,2,9,1,0,5718,9000,1431,16270
Sao Paulo,210,5,4,1,0,1,0,0,15000,1667,16890
Belo Horizonte,100,4,2,3,10,1,0,1027,2600,238,3900
Rio de Janeiro,220,3,3,2,4,1,1,2500,9000,367,11980
Sao Paulo,42,1,1,0,1,1,0,400,1150,27,1592
Rio de Janeiro,98,3,2,0,7,1,0,891,3000,185,4115
Rio de Janeiro,150,3,1,2,2,1,0,3290,5200,710,9268
Sao Paulo,170,3,3,4,0,1,0,0,3500,222,3775
Sao Paulo,60,2,1,0,0,1,0,1,1610,0,1636
Sao Paulo,120,3,4,2,0,1,0,187,3450,149,3838
Sao Paulo,142,2,3,2,18,1,0,1400,3550,492,5487
Porto Alegre,90,2,2,1,18,0,0,500,2500,84,3121
Sao Paulo,140,3,3,2,3,1,0,2400,6000,500,8977
Rio de Janeiro,26,1,1,0,3,1,0,325,1200,26,1567
Sao Paulo,20,1,1,0,0,0,0,0,790,0,801
Porto Alegre,24,1,1,1,0,0,0,0,550,0,559
Rio de Janeiro,140,3,2,0,5,1,0,350,2900,194,3482
Belo Horizonte,134,4,2,3,1,0,0,650,3000,313,4003
Sao Paulo,400,5,4,2,12,1,0,2675,2000,832,5533
Rio de Janeiro,18,1,1,0,3,1,0,628,650,49,1336
Rio de Janeiro,62,1,1,1,8,1,0,1550,2800,182,4569
Sao Paulo,192,3,3,3,16,1,1,1790,6500,630,9003
Sao Paulo,80,3,2,1,6,1,0,850,1790,128,2791
Porto Alegre,38,1,1,1,9,1,0,350,2900,42,3335
Belo Horizonte,112,2,3,2,10,1,0,442,1400,92,1953
Rio de Janeiro,15,1,1,0,1,0,0,500,1100,0,1615
Sao Paulo,29,1,1,0,5,1,0,257,1043,0,1314
Belo Horizonte,55,2,1,1,1,1,0,200,1050,0,1264
Sao Paulo,88,3,1,2,5,1,0,1900,2500,84,4516
Sao Paulo,100,4,1,0,0,1,0,0,1600,100,1725
Belo Horizonte,92,3,2,1,1,1,0,268,1800,141,2233
Rio de Janeiro,154,4,2,2,2,1,0,1850,4250,313,6468
Sao Paulo,240,4,3,3,6,1,0,2850,12000,700,15700
Porto Alegre,28,1,1,0,1,1,1,0,1340,4,1364
Sao Paulo,50,1,1,0,0,0,0,0,1250,34,1303
Sao Paulo,180,3,3,2,4,1,0,2100,8000,413,10620
Sao Paulo,35,1,1,0,3,0,0,150,850,0,1011
Rio de Janeiro,64,2,1,1,2,1,0,0,3500,0,3546
Sao Paulo,60,2,1,1,8,1,0,550,1310,5,1882
Sao Paulo,239,4,4,3,0,1,1,0,5950,500,6540
Sao Paulo,130,3,2,1,10,0,1,1100,2300,109,3539
Campinas,85,2,2,0,6,0,0,810,918,98,1838
Rio de Janeiro,75,2,2,1,9,1,1,650,2000,310,2986
Sao Paulo,90,2,2,1,0,1,0,0,1800,0,1828
Belo Horizonte,100,3,1,1,2,1,0,300,1500,85,1905
Sao Paulo,70,2,2,1,1,0,0,670,1450,0,2139
Rio de Janeiro,86,3,1,0,3,1,0,800,1258,80,2155
Rio de Janeiro,29,1,1,0,2,1,0,484,1500,26,2030
Porto Alegre,82,2,2,1,5,1,0,450,1700,67,2242
Sao Paulo,55,2,1,1,5,1,0,640,1625,0,2286
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,2633
Sao Paulo,33,1,1,0,15,0,0,550,4000,0,4601
Campinas,50,1,1,1,11,0,0,650,1800,130,2603
Sao Paulo,159,4,2,0,3,1,0,2064,1900,634,4623
Belo Horizonte,62,3,2,1,4,0,0,230,1100,63,1408
Sao Paulo,80,2,1,2,0,1,0,0,1569,0,1593
Sao Paulo,170,3,4,3,21,1,0,1500,5000,450,7014
Porto Alegre,68,2,2,1,1,1,0,400,1800,82,2309
Sao Paulo,300,4,4,3,0,1,1,0,5080,284,5441
Porto Alegre,50,2,1,1,2,1,0,100,1460,0,1582
Rio de Janeiro,80,2,2,1,10,1,0,824,2000,279,3129
Porto Alegre,40,2,1,1,3,1,0,300,820,32,1164
Sao Paulo,270,3,4,2,6,1,0,2890,6500,100,9573
Porto Alegre,75,3,1,1,1,1,0,360,1100,47,1524
Porto Alegre,60,1,2,2,15,1,0,500,2800,17,3358
Sao Paulo,300,4,5,4,1,1,0,3600,7500,1334,12530
Belo Horizonte,73,2,1,2,1,1,0,150,1200,62,1428
Belo Horizonte,85,2,1,1,1,1,0,230,1000,61,1305
Sao Paulo,100,3,3,1,0,1,0,0,2400,0,2437
Porto Alegre,49,1,1,0,7,1,0,310,680,21,1021
Sao Paulo,35,1,1,0,5,1,1,420,1800,0,2243
Sao Paulo,240,3,4,1,6,0,0,1700,14850,400,17140
Sao Paulo,45,1,1,0,0,1,0,0,900,0,914
Sao Paulo,55,2,1,1,9,1,1,565,2800,0,3401
Sao Paulo,305,4,3,4,6,1,1,3428,11000,2134,16700
Belo Horizonte,622,5,5,6,0,1,0,0,10000,924,11090
Belo Horizonte,55,2,1,1,2,0,0,250,1200,67,1533
Rio de Janeiro,42,1,1,0,12,1,1,600,2300,167,3097
Belo Horizonte,132,3,3,2,2,1,0,0,1500,207,1727
Belo Horizonte,53,2,1,0,6,1,0,626,850,76,1564
Sao Paulo,998,7,10,4,0,1,1,0,15000,5000,20230
Sao Paulo,22,1,1,0,4,0,1,350,2410,0,2791
Rio de Janeiro,35,1,1,0,12,1,0,350,850,60,1271
Sao Paulo,189,4,2,2,4,1,0,1970,8000,559,10630
Sao Paulo,375,4,5,3,0,1,1,0,9000,850,9986
Sao Paulo,65,2,1,1,3,1,0,315,1400,47,1780
Sao Paulo,462,4,6,4,0,1,1,0,8000,1081,9202
Sao Paulo,150,2,1,0,1,1,0,180,2285,100,2594
Campinas,350,2,2,2,0,1,0,0,4300,150,4515
Sao Paulo,260,4,5,4,15,1,1,3471,7500,0,11070
Porto Alegre,61,1,1,0,0,1,0,80,1100,160,1357
Sao Paulo,175,4,3,2,0,1,0,0,2890,0,2934
Porto Alegre,70,2,1,0,0,1,1,270,1800,23,2120
Rio de Janeiro,60,2,1,1,10,1,1,520,1500,80,2120
Campinas,296,6,4,8,0,1,0,0,5200,375,5654
Rio de Janeiro,96,2,2,1,10,0,1,995,2900,109,4042
Sao Paulo,150,4,2,3,2,1,0,3030,7377,800,11300
Sao Paulo,375,4,4,3,0,1,0,0,6400,75,6572
Campinas,70,3,1,1,1,1,0,600,1500,17,2137
Sao Paulo,127,4,3,2,4,1,0,1040,4930,472,6505
Belo Horizonte,67,2,2,2,3,0,0,850,2800,0,3688
Sao Paulo,50,1,2,1,1,0,1,750,3300,214,4306
Rio de Janeiro,56,2,1,0,4,1,0,502,1500,0,2022
Sao Paulo,55,2,1,1,19,1,1,608,2100,84,2819
Sao Paulo,34,1,1,0,0,0,0,0,900,46,960
Campinas,68,2,1,0,4,0,0,498,930,48,1488
Sao Paulo,80,2,1,0,4,0,0,400,1777,0,2200
Campinas,120,3,1,1,3,0,0,650,1800,80,2553
Campinas,50,1,1,1,10,0,0,718,1600,13,2352
Campinas,78,2,2,1,1,1,0,432,1200,127,1775
Rio de Janeiro,90,2,2,1,9,1,0,880,3800,80,4809
Belo Horizonte,320,5,4,6,0,0,0,0,8000,584,8716
Rio de Janeiro,560,5,6,4,14,1,0,2190,2633,1133,5990
Rio de Janeiro,25,1,1,0,8,1,0,600,1850,25,2499
Porto Alegre,37,1,1,0,3,1,0,270,650,23,953
Rio de Janeiro,95,3,1,0,16,1,0,1048,3600,283,4978
Sao Paulo,130,3,3,2,7,1,0,1400,1650,414,3485
Belo Horizonte,270,5,4,6,0,1,0,0,3910,125,4088
Belo Horizonte,40,1,1,0,0,0,0,0,650,59,720
Belo Horizonte,65,2,2,3,7,1,0,366,1450,110,1946
Sao Paulo,45,1,1,0,22,0,0,350,1015,33,1411
Sao Paulo,20,1,1,0,1,0,1,0,2060,0,2087
Sao Paulo,720,4,5,5,17,1,0,6471,6500,3520,16570
Belo Horizonte,80,3,2,2,1,1,1,280,2500,126,2940
Belo Horizonte,90,2,1,0,1,1,0,0,1000,39,1053
Sao Paulo,60,1,2,0,0,1,0,0,1062,1,1079
Belo Horizonte,45,1,1,1,4,0,1,1550,3400,198,5194
Sao Paulo,100,1,2,0,0,0,0,4320,3100,0,7460
Belo Horizonte,553,4,6,3,3,0,0,2800,10870,1459,15270
Sao Paulo,250,4,3,2,0,1,0,0,3900,475,4434
Campinas,92,3,2,3,17,1,0,643,3700,299,4689
Sao Paulo,98,1,2,0,27,1,1,3177,15000,130,18500
Campinas,114,3,2,1,4,1,0,967,1400,176,2561
Sao Paulo,27,1,1,1,6,0,1,650,1900,59,2634
Porto Alegre,225,1,2,0,0,1,0,0,3500,218,3781
Sao Paulo,30,1,1,0,3,1,0,380,1700,0,2102
Porto Alegre,135,3,3,4,5,1,0,200,4000,0,4259
Campinas,150,4,3,4,0,0,0,750,4000,334,5145
Belo Horizonte,190,4,2,0,10,1,0,1000,5580,417,7072
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,2633
Rio de Janeiro,120,3,1,1,0,1,0,0,1150,67,1235
Sao Paulo,90,3,2,1,4,1,0,900,2066,92,3085
Sao Paulo,350,4,5,2,0,0,1,0,7500,0,7613
Sao Paulo,160,3,4,2,0,1,0,0,4300,209,4574
Rio de Janeiro,150,3,2,0,5,1,0,1800,2500,200,4533
Rio de Janeiro,35,1,1,0,3,1,0,790,2000,86,2902
Porto Alegre,25,1,1,0,0,0,0,0,550,0,559
Sao Paulo,240,4,4,4,26,1,0,3250,13000,1121,17540
Sao Paulo,150,4,2,2,13,0,0,1700,4400,37,6193
Rio de Janeiro,20,1,1,0,0,1,0,0,700,0,710
Campinas,85,3,2,1,4,1,0,690,1341,110,2147
Sao Paulo,50,2,1,1,6,1,1,400,1900,0,2315
Sao Paulo,197,3,3,2,8,1,0,4200,6000,1375,11650
Sao Paulo,70,3,2,1,7,1,0,800,2800,67,3703
Rio de Janeiro,220,3,2,2,8,1,0,1850,3500,265,5661
Belo Horizonte,270,4,3,2,3,1,0,1200,4800,241,6305
Porto Alegre,100,3,2,2,2,1,0,650,2499,92,3278
Sao Paulo,195,4,6,3,12,1,0,1400,8000,750,10250
Sao Paulo,160,3,3,2,0,1,0,0,4200,342,4606
Sao Paulo,470,4,6,3,0,1,0,0,7200,1134,8443
Campinas,60,3,2,1,5,1,0,366,1200,0,1582
Sao Paulo,300,4,4,3,0,1,0,0,12900,584,13680
Sao Paulo,330,5,6,2,11,1,0,800,8950,250,10110
Porto Alegre,109,1,2,2,3,1,1,496,4300,87,4946
Sao Paulo,240,4,5,4,15,1,1,3700,12000,1000,16850
Sao Paulo,150,3,2,5,0,1,0,0,2300,260,2595
Sao Paulo,200,3,2,1,2,1,0,1750,4500,375,6683
Belo Horizonte,140,4,3,1,2,1,0,475,2300,167,2973
Sao Paulo,106,2,2,2,1,0,1,1170,10600,334,12240
Porto Alegre,92,2,2,1,2,1,1,645,2100,2610,5386
Sao Paulo,35,1,1,1,7,1,0,380,2200,100,2708
Sao Paulo,70,3,2,1,3,1,0,1200,2900,25,4162
Sao Paulo,74,2,1,2,9,1,1,1100,6600,424,8208
Sao Paulo,69,2,2,2,5,1,0,853,1900,210,2988
Sao Paulo,50,1,1,0,0,0,0,0,830,0,843
Porto Alegre,450,5,3,6,0,1,0,0,4760,94,4939
Rio de Janeiro,68,2,1,0,5,1,0,593,1000,400,2006
Sao Paulo,71,1,1,1,11,1,0,1650,3000,238,4927
Rio de Janeiro,69,2,1,1,9,1,1,500,1370,56,1944
Belo Horizonte,32,1,1,1,9,1,0,197,1500,126,1843
Sao Paulo,57,2,1,1,8,1,1,350,1800,50,2223
Sao Paulo,28,1,1,0,1,1,1,500,2200,72,2800
Sao Paulo,39,1,1,0,8,1,1,300,2000,0,2326
Porto Alegre,140,3,3,0,2,1,0,750,1700,125,2600
Sao Paulo,160,3,3,2,0,1,0,0,4500,209,4777
Sao Paulo,235,3,3,1,3,1,0,2585,5150,575,8376
Sao Paulo,171,3,2,1,13,1,0,1200,2200,300,3728
Rio de Janeiro,139,3,2,2,1,1,0,2047,6000,540,8665
Belo Horizonte,160,4,3,2,5,1,0,763,2300,230,3324
Campinas,60,2,1,1,0,1,0,485,800,60,1356
Sao Paulo,134,3,3,3,8,1,0,1680,2125,375,4207
Belo Horizonte,70,2,1,1,11,1,0,897,1300,125,2340
Rio de Janeiro,57,2,1,0,1,1,0,100,1530,0,1650
Sao Paulo,240,3,3,4,6,1,1,2600,5500,1834,10000
Sao Paulo,50,1,1,0,0,0,0,0,800,34,847
Rio de Janeiro,120,3,2,1,8,1,0,1470,3550,190,5256
Porto Alegre,200,3,3,4,2,1,0,2900,1200,260,4378
Sao Paulo,572,6,6,4,0,1,1,0,7800,2359,10280
Sao Paulo,145,2,2,1,1,1,1,1463,4000,0,5514
Belo Horizonte,70,2,1,2,1,0,0,80,1200,97,1393
Rio de Janeiro,85,2,2,1,2,1,1,3700,8000,659,12460
Belo Horizonte,140,3,2,0,2,0,0,0,3000,202,3242
Sao Paulo,260,4,5,5,6,1,0,3000,12500,1667,17330
Sao Paulo,211,4,4,4,2,1,0,1800,3390,775,6008
Campinas,58,2,1,1,2,1,0,280,650,0,939
Rio de Janeiro,110,1,1,2,3,1,0,1936,4500,341,6835
Sao Paulo,72,2,2,0,10,1,0,820,1500,70,2410
Sao Paulo,700,4,7,8,0,1,0,0,45000,8750,54430
Sao Paulo,68,1,2,1,5,1,0,1040,6000,229,7346
Rio de Janeiro,100,3,3,2,8,1,0,1167,2700,95,3997
Sao Paulo,240,3,2,0,7,1,1,1717,6500,444,8744
Rio de Janeiro,104,3,1,0,6,1,0,784,3500,195,4525
Campinas,70,1,1,1,2,1,1,290,1600,70,1981
Sao Paulo,67,1,1,1,14,1,1,920,2600,72,3625
Belo Horizonte,160,4,2,5,0,1,1,0,3780,167,4009
Belo Horizonte,64,3,1,0,3,0,0,215,1400,27,1661
Sao Paulo,140,3,3,5,8,0,1,2000,8000,710,10810
Campinas,38,1,1,0,3,0,0,376,750,15,1151
Sao Paulo,34,1,1,0,12,1,0,372,2700,57,3164
Sao Paulo,54,2,1,0,7,1,0,535,2001,0,2562
Sao Paulo,54,1,1,1,1,0,1,1050,7200,250,8592
Sao Paulo,200,3,2,4,0,1,0,0,3500,500,4053
Sao Paulo,107,3,2,2,1,1,0,1122,2600,350,4105
Rio de Janeiro,70,2,2,0,11,1,0,879,1550,77,2526
Sao Paulo,20,1,1,0,5,1,1,602,1800,130,2555
Sao Paulo,86,2,1,1,5,1,0,1002,2340,0,3350
Rio de Janeiro,30,1,1,1,0,1,0,0,1480,25,1525
Porto Alegre,108,3,2,1,3,1,1,826,2000,89,2945
Sao Paulo,250,4,3,4,0,1,0,0,2700,154,2895
Sao Paulo,80,2,1,0,4,1,0,740,2200,92,3060
Rio de Janeiro,73,2,1,1,8,1,0,1022,1100,0,2137
Porto Alegre,45,1,1,1,3,1,0,250,1205,72,1545
Sao Paulo,45,2,2,0,0,0,0,0,1650,84,1759
Sao Paulo,255,4,4,0,15,1,1,4000,2500,1484,8016
Belo Horizonte,217,4,3,4,12,1,0,2644,6000,1177,9901
Sao Paulo,70,1,1,0,2,1,0,472,1870,0,2366
Sao Paulo,25,1,1,0,1,0,0,0,885,0,897
Porto Alegre,110,3,3,0,1,1,0,400,3250,75,3773
Sao Paulo,80,2,2,1,12,1,0,1200,10000,109,11440
Sao Paulo,260,3,5,0,0,1,0,0,9000,634,9770
Sao Paulo,50,2,2,1,10,1,0,624,2700,82,3441
Campinas,60,2,1,1,1,0,0,430,815,20,1271
Sao Paulo,400,3,6,6,0,1,1,0,6500,375,6973
Sao Paulo,113,2,1,1,4,1,0,1000,3000,50,4089
Sao Paulo,400,4,4,6,8,1,0,3900,8000,1750,13750
Porto Alegre,64,2,2,2,6,1,0,450,2250,50,2783
Sao Paulo,82,2,1,2,10,1,1,2020,3100,333,5493
Sao Paulo,65,2,1,3,9,1,0,800,2000,217,3043
Porto Alegre,128,4,3,2,3,1,0,1160,4900,409,6557
Sao Paulo,38,1,1,0,1,0,0,60,950,0,1023
Campinas,175,3,2,0,0,0,0,0,2000,0,2031
Sao Paulo,107,3,3,2,3,1,0,1600,4500,417,6575
Rio de Janeiro,257,4,3,2,3,1,1,3250,3800,709,7808
Sao Paulo,35,1,1,1,2,0,1,550,3250,30,3872
Sao Paulo,463,4,7,6,0,1,0,0,12000,1264,13450
Rio de Janeiro,40,2,1,0,7,1,0,335,920,55,1322
Belo Horizonte,297,4,2,3,6,1,0,2000,1870,209,4094
Sao Paulo,137,3,3,1,9,1,1,1247,5500,303,7120
Rio de Janeiro,35,1,1,0,10,0,0,498,1200,80,1794
Rio de Janeiro,128,3,3,1,8,1,1,950,3500,242,4738
Belo Horizonte,59,2,1,1,2,1,0,190,1250,70,1527
Rio de Janeiro,400,4,4,2,0,1,0,634,11480,1357,13640
Rio de Janeiro,100,3,2,1,5,0,0,980,4500,125,5663
Rio de Janeiro,50,1,1,0,10,1,1,680,2200,85,2994
Porto Alegre,80,2,2,1,5,1,1,740,1900,120,2788
Belo Horizonte,68,2,2,2,4,1,0,230,1650,154,2056
Sao Paulo,32,1,1,1,22,1,1,2000,2000,416,4442
Rio de Janeiro,161,3,3,3,14,1,0,1300,4500,640,6498
Sao Paulo,85,2,2,0,0,1,0,0,1700,0,1726
Sao Paulo,100,2,2,0,0,1,0,0,2500,274,2812
Sao Paulo,136,3,4,3,7,1,0,1400,5000,117,6581
Sao Paulo,362,4,5,2,0,1,0,0,7000,834,7940
Sao Paulo,276,3,3,4,15,1,1,3600,6500,1650,11830
Rio de Janeiro,22,1,1,0,2,0,0,50,1322,59,1447
Porto Alegre,60,2,1,0,1,1,0,114,980,42,1151
Sao Paulo,500,4,7,8,0,1,0,0,9250,1167,10560
Porto Alegre,65,1,1,1,3,1,0,426,980,38,1459
Sao Paulo,56,2,1,1,11,1,0,350,2600,0,2983
Sao Paulo,35,1,1,1,4,0,1,300,2840,10,3186
Porto Alegre,98,3,2,2,4,0,0,700,2550,100,3388
Sao Paulo,45,1,1,0,1,0,0,0,950,30,995
Porto Alegre,48,2,1,1,2,1,0,300,800,35,1147
Campinas,48,1,1,1,4,1,1,490,1500,42,2052
Sao Paulo,114,2,3,1,1,1,1,902,7010,167,8168
Belo Horizonte,197,4,2,3,3,1,0,850,4250,400,5557
Belo Horizonte,200,4,1,2,4,1,0,345,2500,209,3088
Belo Horizonte,110,3,2,0,0,1,0,0,2500,0,2541
Sao Paulo,300,2,4,2,0,1,0,0,6000,419,6510
Belo Horizonte,120,3,1,1,6,0,0,1140,1900,140,3206
Porto Alegre,40,1,1,0,3,1,1,370,1084,46,1516
Sao Paulo,92,2,1,1,7,0,1,690,3950,0,4691
Sao Paulo,140,3,2,2,3,1,0,1640,5500,583,7793
Sao Paulo,244,4,3,4,2,1,0,3460,7000,1000,11550
Porto Alegre,59,2,1,0,3,1,0,326,1000,42,1383
Rio de Janeiro,35,1,1,0,3,1,0,0,791,30,832
Sao Paulo,120,3,2,3,16,1,0,1400,2000,292,3718
Sao Paulo,248,4,5,4,1,0,0,2500,9100,250,11970
Sao Paulo,63,2,2,1,17,1,0,783,1690,27,2522
Sao Paulo,45,1,1,1,8,1,0,694,1800,172,2689
Sao Paulo,129,2,3,2,16,1,1,1100,2376,334,3848
Sao Paulo,300,3,3,8,0,1,0,0,4675,400,5146
Sao Paulo,29,1,1,1,4,0,1,650,2200,118,2996
Belo Horizonte,100,3,2,1,2,1,0,745,1300,119,2182
Sao Paulo,153,4,3,3,3,1,0,2500,5500,700,8770
Campinas,87,2,1,1,4,1,0,780,1200,52,2048
Sao Paulo,75,1,1,2,8,1,1,976,7000,323,8388
Rio de Janeiro,300,4,4,2,3,1,0,4100,12750,1334,18350
Porto Alegre,48,1,1,0,4,1,0,340,700,300,1351
Sao Paulo,56,2,2,1,4,1,0,500,2000,0,2526
Campinas,71,2,1,1,7,1,0,670,977,114,1774
Sao Paulo,84,4,1,3,5,0,0,1914,6000,804,8795
Sao Paulo,208,3,4,3,0,0,0,0,3490,476,4019
Sao Paulo,100,1,2,1,13,0,0,1520,6000,348,7945
Sao Paulo,84,3,2,2,7,1,1,540,2200,71,2839
Sao Paulo,145,4,3,2,1,1,0,1644,4800,500,7005
Sao Paulo,300,4,3,2,0,1,1,0,15000,1040,16270
Sao Paulo,65,2,2,1,12,0,1,980,6000,250,7307
Sao Paulo,27,1,1,0,0,0,0,0,836,0,849
Rio de Janeiro,102,3,2,1,2,1,0,1900,1350,140,3408
Campinas,60,2,1,1,1,0,1,385,2848,64,3334
Porto Alegre,60,1,1,0,1,1,0,230,1286,70,1605
Rio de Janeiro,50,1,1,0,10,1,0,520,1620,0,2161
Sao Paulo,97,3,1,1,10,1,0,762,2300,25,3117
Sao Paulo,52,1,2,1,19,1,0,1100,5000,210,6374
Sao Paulo,373,4,4,3,12,1,0,4500,12750,1417,18830
Sao Paulo,157,4,3,2,0,1,0,0,6608,492,7200
Campinas,68,3,1,1,2,1,0,555,1100,50,1719
Sao Paulo,172,4,4,3,15,1,1,1650,8800,890,11450
Sao Paulo,64,2,2,2,25,0,0,865,3500,0,4410
Rio de Janeiro,41,1,1,0,9,1,0,800,1700,85,2607
Rio de Janeiro,106,2,2,1,2,1,0,900,2850,296,4083
Belo Horizonte,150,4,2,3,1,1,1,900,3300,340,4584
Belo Horizonte,135,4,2,2,4,1,0,450,3500,117,4114
Sao Paulo,350,4,6,6,0,1,1,0,9600,1367,11110
Belo Horizonte,360,3,1,3,0,1,0,0,1500,142,1667
Sao Paulo,700,4,7,8,0,1,1,0,15000,2250,17480
Rio de Janeiro,100,2,2,1,6,1,1,2400,8900,380,11800
Belo Horizonte,50,1,1,2,4,1,0,300,1200,0,1516
Sao Paulo,55,3,1,1,3,1,0,458,1300,0,1775
Sao Paulo,215,4,4,2,10,0,0,1950,6000,834,8861
Sao Paulo,287,3,2,5,0,1,0,0,15000,0,15230
Sao Paulo,58,2,1,1,3,1,1,383,1500,43,1946
Sao Paulo,90,3,2,2,10,1,0,850,1600,300,2771
Sao Paulo,200,3,3,3,0,1,0,0,3315,241,3606
Sao Paulo,65,3,2,1,8,1,0,650,2200,5,2883
Sao Paulo,820,4,6,6,0,1,0,2500,10000,2500,15150
Sao Paulo,102,2,1,0,3,1,0,538,2000,109,2673
Rio de Janeiro,108,3,2,2,3,1,0,2000,4500,442,7000
Sao Paulo,86,3,2,2,6,1,1,800,3100,203,4143
Campinas,210,6,3,0,0,1,0,0,4200,0,4264
Belo Horizonte,140,4,2,2,4,1,0,995,4200,462,5713
Sao Paulo,220,4,4,3,2,1,0,2500,4500,1042,8100
Campinas,66,2,1,1,0,1,0,265,1100,34,1413
Sao Paulo,389,4,5,6,4,1,0,4000,8500,1834,14440
Sao Paulo,80,3,3,1,11,0,0,934,1700,25,2681
Sao Paulo,78,2,2,1,1,1,0,792,2200,148,3168
Sao Paulo,178,4,2,5,0,1,0,0,6000,459,6550
Sao Paulo,47,2,1,1,4,1,0,565,1140,64,1784
Belo Horizonte,160,4,1,1,0,1,0,0,2150,0,2186
Rio de Janeiro,25,1,1,0,1,1,0,50,700,0,760
Sao Paulo,80,2,2,2,0,1,0,50,1700,177,1953
Sao Paulo,144,3,3,2,0,1,1,0,5000,109,5185
Campinas,400,5,7,4,5,1,0,3200,7900,888,12090
Belo Horizonte,100,3,2,1,0,1,0,0,14500,423,15160
Sao Paulo,48,2,1,0,2,1,0,90,1150,90,1345
Sao Paulo,64,3,2,2,16,1,0,500,1530,34,2084
Porto Alegre,50,2,1,0,0,1,0,100,700,100,911
Sao Paulo,50,1,1,1,11,1,1,1140,5156,117,6479
Sao Paulo,60,2,2,1,5,1,0,700,1465,100,2284
Rio de Janeiro,180,3,2,1,2,1,0,2000,4800,377,7239
Sao Paulo,339,3,3,4,0,1,0,0,3880,353,4292
Campinas,54,1,1,1,5,1,1,751,2350,127,3258
Sao Paulo,420,4,6,4,10,1,0,5700,12000,3167,21020
Campinas,350,4,5,4,0,1,0,680,8000,417,9218
Sao Paulo,72,2,2,2,6,0,0,800,3060,250,4149
Sao Paulo,50,1,1,0,0,0,0,0,800,59,872
Sao Paulo,450,4,4,4,0,1,0,0,11000,1417,12580
Rio de Janeiro,60,2,1,0,6,0,1,800,2900,92,3830
Sao Paulo,160,2,3,3,0,1,0,0,7500,417,8030
Belo Horizonte,450,4,4,5,10,0,0,2200,13500,1130,17010
Sao Paulo,265,3,4,3,0,1,1,0,3490,450,3993
Sao Paulo,103,3,1,3,2,1,0,1054,3400,94,4592
Sao Paulo,60,2,2,1,8,1,0,640,1650,0,2311
